Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
buffZBManagerDesc,,buffs,Buff,--,Zombiome is runnning,Zombiome est actif,,,,
buffZBManagerName,,buffs,Buff,--,ZB Manager,,,,,
buffSlipperyDesc,,buffs,Buff,--,Your hands are slippery,Vos mains sont glissantes,,,,
buffSmallestDesc,,buffs,Buff,--,You are very small - careful with that Rabbit,Vous etes tout petit,,,,
buffGiantDesc,,buffs,Buff,--,You are a giant - what will you stomp ?,Vous etes géant,,,,
buffGravityDesc,,buffs,Buff,--,You feel heavier,Vous vous sentez massif,,,,
buffGravityStrongDesc,,buffs,Buff,--,You feel stuck on the ground,Vous etes écrasé au sol,,,,
buffAntiGravityDesc,,buffs,Buff,--,Feeling like a cosmonaut ?,Seriez vous sur la lune?,,,,
buffZBRadiatedDesc,,buffs,Buff,--,You feel weak due to radiations,Irradiation légère,,,,
buffEjectableDesc,,buffs,Buff,--,You feel weak and light,Vous vous sentez léger,,,,
buffZBShockedDesc,,buffs,Buff,--,Electrified,Electric,,,,
buffZBChargedName,,buffs,Buff,--,StaticCharge(zb),,,,,
buffZBChargedTooltip,,buffs,Buff,--,You bear static charges,Accumulation statique - évitez l'eau et les contacts,,,,
buffZBChargedDesc,,buffs,Buff,--,Tou have unusual static electricity. Avoid water and contact,Accumulation de charge statique,,,,
buffZBFrozenDesc,,buffs,Buff,--,You are frozen,Mr Freeze,,,,
buffZBPoisonDesc,,buffs,Buff,--,You are poisonned,Empoisonnement !,,,,
buffZBBlindedDesc,,buffs,Buff,--,Your eyes are full of sand,Vous avez du sable dans les yeux,,,,
buffZBFrozenName,,buffs,Buff,newKey,Frozen(zb),,,,,
buffZBPoisonName,,buffs,Buff,newKey,Poison(zb),,,,,
buffZBBlindedName,,buffs,Buff,newKey,Blinded(zb),,,,,
buffZBSlipperyName,,buffs,Buff,newKey,Slipping hands(zb),,,,,
buffZBLightenDesc,,buffs,Buff,newKey,You are very attractive - be mindful who you date,,,,,
buffZBLightenName,,buffs,Buff,newKey,Attractive(zb),,,,,
buffZBBoilingName,,buffs,Buff,newKey,Boiling(zb),,,,,
buffZBBoilingDesc,,buffs,Buff,--,You are boiling,,,,,
waterSlime,,blocks,Block,newKey,Slime,,,,,
waterSlimeDesc,,blocks,Block,newKey,Unstable and bouncy,,,,,
snowStalagmite,,blocks,Block,newKey,StalagmIce,,,,,
snowStalagmiteDesc,,blocks,Block,--,Should slow down anything,,,,,
