Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
loadingTipZombiome_title,UI,Loading Screen,x,,ゾンビオム,,,,,
loadingTipZombiome,UI,Loading Screen,x,,"""Biomes have gone mad, and Mother Earth is now part of the apocalypse !\strange 'natural' disasters have reported: eruption, seism, flood, bushfire, electro-magnetic interference ... and many others don't have a name for scientists yet.""",,,,,
loadingTipZombiomeEpi_title,UI,Loading Screen,x,,Zombiome Epicenters,,,,,
loadingTipZombiomeEpi,UI,Loading Screen,x,,「バイオームの活動は震源地から離れるほど低下する。周囲の活動が嫌なら遠ざかり、震源地を避ければ安全に過ごせる。エピセンタを見つけるには、周囲を観察したり、ゾンビオームのパターン（位置や強さ）を研究したり、バイオーム観察ノートを略奪して読んだりするとよい。,,,,,
loadingTipZombiomeMotion_title,UI,Loading Screen,x,,Zombiome - The ground moves !,,,,,
loadingTipZombiomeMotion,UI,Loading Screen,x,,"""地盤変動と地滑りに注意してください。小さなチェスト(とコンテンツ)から最強の建物まで、何でも破壊してしまうんだ。地震が起きた場所から離れて拠点を作るか、アクティブベッドロールとLCBによる小さなゾーン保護を利用しましょう（そして、それが正しく実装されていることを祈りましょう）""",,,,,
loadingTipZombiomeDust_title,UI,Loading Screen,x,,Zombiome Dust,,,,,
loadingTipZombiomeDust,UI,Loading Screen,x,,"「奇妙な生物群の力を{査し飼いならす勇気はあるか？ Zombiome Dustは、周囲の物質から@親和性を引き出します。危険で不安定な資源で、寿命も限られてる。ダストは攻撃するたびにバイオームパワーを放つ。[action:local:Primary], [action:local:Secondary], <Reload>[action:local:Reload][action:permanent:Reload], <Activate>[action:local:Activate][action:permanent:Activate] のいずれかです。Stat-tabには効果が一覧表示され、Degradation Barには@finityが描かれます。""",,,,,
loadingTipZombiomeAff_title,UI,Loading Screen,x,,ゾンビーム・アフィニティ,,,,,
loadingTipZombiomeAff,UI,Loading Screen,x,,"「Zombiomeは5つの親和性を持つ。赤（石、火）、緑（植物、木）、黒（死体）、青（水、雪）、白（金属、砂、電気）だ。反対色の素材に当たったり、反対色の素材に触れたりすると、悪い＠親和性が発生します。例えば、赤の＠フィニティーの下では、水は避けてください。""",,,,,
loadingTipZombiomeCraft_title,UI,Loading Screen,x,,ゾンビオムクラフト,,,,,
loadingTipZombiomeCraft,UI,Loading Screen,x,,「ゾンビオームダストが非活性化した後、強力なアイテムの主な材料になるんだ♪ バイオーム認識属性で管理されている。キーワード'Zombiome ' でレシピをフィルタリングすると、それらをチェックすることができます（またはレベルごとに'Zombiome1'、'Zombiome2'...）。,,,,,
__ZBGaz__,ui_display,Item stat,,,__________________________________________________,,,,,
ZBProj_fire,,items,Item,--,グラウンド・ブッシュ・ファイア,,,,,
ZBProj_fireHuman,,items,Item,--,グラウンド・ブッシュ・ファイア,,,,,
ZBProj_spark,,items,Item,--,グランドスパーク,,,,,
ZBProj_boom,,items,Item,--,エクスプロージョンガズ,,,,,
ZBProj_boomy,,items,Item,--,イエローガズ,,,,,
ZBProj_boomr,,items,Item,--,ファイアガズ,,,,,
ZBProj_impact,,items,Item,--,マグネティックガズ,,,,,
ZBProj_eject,,items,Item,--,コンプレスガズ,,,,,
ZBProj_ragdoll,,items,Item,--,グランドシェイク,,,,,
ZBProj_smoke,,items,Item,--,スモークガズ,,,,,
ZBProj_freeze,,items,Item,--,フリーズガズ,,,,,
ZBProj_poison,,items,Item,--,ポイズンガズ,,,,,
ZBProj_sand,,items,Item,--,サンドガズ,,,,,
ZBProj_electric,,items,Item,--,スパーキーガズ,,,,,
__BLOCKS__,ui_display,Item stat,,,__________________________________________________,,,,,
fertileFlesh,,blocks,Block,newKey,保湿スライム,,,,,
fertileFleshDesc,,blocks,Block,newKey,期間限定の置き型ブロック。近くの植物（5m以内）がランダムに次のステージに成長する。,,,,,
corrodingFlesh,,blocks,Block,newKey,腐敗した肉,,,,,
corrodingFleshDesc,,blocks,Block,newKey,歩くと10秒間アーマーとフィジカルレジストを腐食させる置き型ブロック。,,,,,
cobblestoneRWall,,blocks,Block,newKey,再生ストーンウォール,,,,,
cobblestoneRWallDesc,,blocks,Block,newKey,上部に高さ3mの石畳の壁をゆっくり（再）生成する置き型ブロック。時間経過でダメージを受ける, but can be repaired.,,,,
waterSlime,,blocks,Block,newKey,スライム,,,,,
waterSlimeDesc,,blocks,Block,newKey,安定しない、弾むような,,,,,
snowStalagmite,,blocks,Block,newKey,StalagmIce,,,,,
snowStalagmiteDesc,,blocks,Block,--,何かと遅くなるはずの置き土産ブロック,,,,,
decoLuminU01,,blocks,Block,newKey,マグネタイト,,,,,
decoLuminU01Desc,,blocks,Block,--,小さな重力歪みを誘発する配置可能なブロック。,,,,,
decoLivingRoots,,blocks,Block,newKey,LivingRoots,,,,,
decoLivingRootsDesc,,blocks,Block,--,配置可能なブロック。この厄介な小さな植物は、通過するものを挟み込みます。根が（再）成長するのにわずかな時間が必要です。,,,,,
epicenterBlock,,blocks,Block,--,<インターアクト>。バイオームの奇妙さを{査する,,,,,
__SKILLS__,ui_display,Item stat,,,__________________________________________________,,,,,
attZombiome,progression,Attribute,,,意識改革,,,,,
attZombiomeDesc,progression,Attribute,,,意識は、ゾンビオームの}動をどれだけ感じられるかを測るものです。エピセンターを{査するごとに、よりタフになり、「覚醒度」が上昇する。,,,,,
attZombiomeName,progression,Attribute,,,属性バイオーム認識,,,,,
attZombiome1,progression,Attribute,,,アウェアネスレベル1,,,,,
